k,n,n_wave
10,1,1
10,2,2
10,3,3
10,4,4
10,5,5
10,6,6
10,7,4
10,8,5
10,9,6
10,10,9
10,11,9
10,12,10
10,13,10
10,14,8
10,15,11
10,16,11
10,17,11
10,18,9
10,19,11
10,20,11
10,21,11
10,22,11
10,23,13
10,24,13
10,25,13
10,26,16
10,27,20
10,28,20
10,29,16
10,30,16
10,31,29
10,32,16
10,33,20
10,34,22
10,35,20
10,36,29
10,37,38
10,38,29
10,39,23
10,40,33
10,41,33
10,42,38
10,43,29
10,44,44
10,45,41
10,46,38
10,47,44
10,48,44
10,49,44
10,50,33
10,51,38
10,52,29
10,53,38
10,54,44
10,55,33
10,56,44
10,57,41
10,58,44
10,59,44
10,60,44
10,61,44
10,62,72
10,63,44
10,64,38
10,65,44
10,66,38
10,67,74
10,68,72
10,69,74
10,70,72
10,71,72
10,72,57
10,73,81
10,74,57
10,75,72
10,76,81
10,77,45
10,78,81
10,79,74
10,80,72
10,81,72
10,82,57
10,83,56
10,84,45
10,85,74
10,86,56
10,87,57
10,88,74
10,89,57
10,90,56
10,91,74
10,92,72
10,93,72
10,94,57
10,95,44
10,96,56
10,97,54
10,98,72
10,99,60
10,100,60
10,101,60
10,102,57
10,103,74
10,104,74
10,105,72
10,106,72
10,107,60
10,108,72
10,109,72
10,110,74
10,111,72
10,112,60
10,113,74
10,114,60
10,115,74
10,116,58
10,117,72
10,118,60
10,119,72
10,120,72
10,121,58
10,122,74
10,123,74
10,124,89
10,125,60
10,126,74
10,127,81
10,128,74
10,129,74
10,130,95
10,131,81
10,132,72
10,133,95
10,134,81
10,135,85
10,136,95
10,137,85
10,138,72
10,139,95
10,140,96
10,141,102
10,142,102
10,143,95
10,144,111
10,145,118
10,146,96
10,147,96
10,148,89
10,149,151
10,150,96
10,151,102
10,152,111
10,153,102
10,154,151
10,155,151
10,156,95
10,157,118
10,158,111
10,159,229
10,160,151
10,161,95
10,162,118
10,163,111
10,164,111
10,165,151
10,166,114
10,167,249
10,168,118
10,169,114
10,170,118
10,171,229
10,172,249
10,173,151
10,174,292
10,175,229
10,176,151
10,177,151
10,178,249
10,179,229
10,180,292
10,181,308
10,182,292
10,183,118
10,184,249
10,185,292
10,186,111
10,187,229
10,188,229
10,189,118
10,190,308
10,191,229
10,192,249
10,193,216
10,194,292
10,195,292
10,196,229
10,197,321
10,198,292
10,199,292
10,200,277
10,201,292
10,202,277
10,203,321
10,204,277
10,205,249
10,206,277
10,207,292
10,208,277
10,209,308
10,210,277
10,211,292
10,212,292
10,213,308
10,214,292
10,215,292
10,216,292
10,217,308
10,218,308
10,219,252
10,220,292
10,221,321
10,222,308
10,223,351
10,224,292
10,225,321
10,226,321
10,227,321
10,228,277
10,229,249
10,230,292
10,231,321
10,232,321
10,233,321
10,234,292
10,235,321
10,236,252
10,237,292
10,238,351
10,239,308
10,240,249
10,241,368
10,242,292
10,243,321
10,244,368
10,245,308
10,246,351
10,247,368
10,248,292
10,249,351
10,250,307
10,251,321
10,252,321
10,253,368
10,254,381
10,255,351
10,256,368
10,257,307
10,258,368
10,259,321
10,260,381
10,261,321
10,262,351
10,263,321
10,264,381
10,265,368
10,266,321
10,267,351
10,268,368
10,269,308
10,270,351
10,271,379
10,272,321
10,273,379
10,274,307
10,275,379
10,276,379
10,277,533
10,278,321
10,279,381
10,280,308
10,281,368
10,282,381
10,283,295
10,284,379
10,285,351
10,286,379
10,287,368
10,288,533
10,289,379
10,290,381
10,291,379
10,292,379
10,293,321
10,294,351
10,295,381
10,296,381
10,297,379
10,298,533
10,299,351
10,300,379
10,301,381
10,302,381
10,303,533
10,304,379
10,305,381
10,306,533
10,307,381
10,308,368
10,309,379
10,310,368
10,311,533
10,312,295
10,313,379
10,314,381
10,315,351
10,316,533
10,317,368
10,318,533
10,319,351
10,320,351
10,321,379
10,322,379
10,323,351
10,324,381
10,325,381
10,326,379
10,327,533
10,328,381
10,329,379
10,330,381
10,331,379
10,332,379
10,333,368
10,334,379
10,335,368
10,336,332
10,337,533
10,338,379
10,339,381
10,340,533
10,341,351
10,342,368
10,343,574
10,344,379
10,345,381
10,346,368
10,347,533
10,348,379
10,349,574
10,350,533
10,351,381
10,352,381
10,353,533
10,354,368
10,355,379
10,356,381
10,357,379
10,358,533
10,359,610
10,360,610
10,361,533
10,362,533
10,363,381
10,364,351
10,365,610
10,366,533
10,367,533
10,368,533
10,369,610
10,370,574
10,371,574
10,372,610
10,373,459
10,374,533
10,375,574
10,376,610
10,377,610
10,378,533
10,379,624
10,380,574
10,381,533
10,382,574
10,383,610
10,384,624
10,385,574
10,386,574
10,387,716
10,388,379
10,389,624
10,390,624
10,391,624
10,392,533
10,393,624
10,394,574
10,395,574
10,396,610
10,397,716
10,398,574
10,399,417
10,400,610
10,401,533
10,402,716
10,403,574
10,404,610
10,405,610
10,406,610
10,407,574
10,408,716
10,409,574
10,410,610
10,411,533
10,412,574
10,413,624
10,414,381
10,415,716
10,416,459
10,417,624
10,418,610
10,419,610
10,420,610
10,421,417
10,422,624
10,423,610
10,424,610
10,425,716
10,426,574
10,427,610
10,428,459
10,429,610
10,430,610
10,431,574
10,432,610
10,433,624
10,434,716
10,435,624
10,436,716
10,437,610
10,438,574
10,439,574
10,440,574
10,441,624
10,442,793
10,443,624
10,444,716
10,445,716
10,446,716
10,447,716
10,448,716
10,449,793
10,450,624
10,451,716
10,452,716
10,453,624
10,454,610
10,455,610
10,456,624
10,457,716
10,458,574
10,459,624
10,460,716
10,461,624
10,462,692
10,463,610
10,464,716
10,465,692
10,466,692
10,467,610
10,468,624
10,469,624
10,470,793
10,471,716
10,472,692
10,473,793
10,474,716
10,475,716
10,476,692
10,477,716
10,478,716
10,479,692
10,480,459
10,481,692
10,482,624
10,483,716
10,484,624
10,485,624
10,486,692
10,487,692
10,488,624
10,489,692
10,490,793
10,491,716
10,492,692
10,493,692
10,494,716
10,495,692
10,496,692
10,497,624
10,498,692
10,499,533
10,500,692
10,501,793
10,502,692
10,503,533
10,504,692
10,505,624
10,506,692
10,507,574
10,508,793
10,509,692
10,510,692
10,511,793
10,512,716
10,513,624
10,514,533
10,515,624
10,516,459
10,517,610
10,518,574
10,519,793
10,520,716
10,521,716
10,522,716
10,523,624
10,524,692
10,525,624
10,526,716
10,527,692
10,528,624
10,529,624
10,530,610
10,531,692
10,532,624
10,533,610
10,534,533
10,535,692
10,536,624
10,537,610
10,538,692
10,539,574
10,540,692
10,541,692
10,542,692
10,543,716
10,544,716
10,545,533
10,546,716
10,547,459
10,548,459
10,549,716
10,550,716
10,551,610
10,552,716
10,553,716
10,554,959
10,555,716
10,556,610
10,557,692
10,558,716
10,559,624
10,560,692
10,561,716
10,562,793
10,563,793
10,564,624
10,565,624
10,566,692
10,567,716
10,568,716
10,569,716
10,570,716
10,571,716
10,572,624
10,573,624
10,574,959
10,575,624
10,576,959
10,577,793
10,578,959
10,579,692
10,580,692
10,581,959
10,582,610
10,583,574
10,584,959
10,585,959
10,586,692
10,587,692
10,588,692
10,589,793
10,590,624
10,591,793
10,592,793
10,593,716
10,594,533
10,595,692
10,596,716
10,597,624
10,598,610
10,599,716
10,600,624
10,601,793
10,602,624
10,603,716
10,604,793
10,605,574
10,606,793
10,607,624
10,608,624
10,609,959
10,610,793
10,611,992
10,612,692
10,613,692
10,614,959
10,615,992
10,616,992
10,617,716
10,618,959
10,619,574
10,620,692
10,621,793
10,622,624
10,623,793
10,624,793
10,625,793
10,626,716
10,627,959
10,628,959
10,629,992
10,630,533
10,631,624
10,632,959
10,633,624
10,634,992
10,635,793
10,636,692
10,637,959
10,638,959
10,639,793
10,640,959
10,641,692
10,642,793
10,643,716
10,644,959
10,645,793
10,646,959
10,647,793
10,648,959
10,649,959
10,650,716
10,651,793
10,652,793
10,653,692
10,654,992
10,655,959
10,656,624
10,657,959
10,658,793
10,659,959
10,660,692
10,661,692
10,662,959
10,663,959
10,664,716
10,665,793
10,666,716
10,667,793
10,668,716
10,669,959
10,670,793
10,671,624
10,672,992
10,673,716
10,674,959
10,675,716
10,676,793
10,677,959
10,678,716
10,679,959
10,680,992
10,681,716
10,682,793
10,683,692
10,684,793
10,685,692
10,686,793
10,687,692
10,688,992
10,689,793
10,690,692
10,691,716
10,692,692
10,693,624
10,694,992
10,695,959
10,696,692
10,697,992
10,698,610
10,699,992
10,700,959
10,701,959
10,702,624
10,703,692
10,704,959
10,705,692
10,706,992
10,707,692
10,708,959
10,709,716
10,710,959
10,711,716
10,712,959
10,713,692
10,714,793
10,715,610
10,716,716
10,717,793
10,718,793
10,719,959
10,720,624
10,721,716
10,722,793
10,723,716
10,724,716
10,725,716
10,726,692
10,727,959
10,728,716
10,729,793
10,730,959
10,731,992
10,732,692
10,733,992
10,734,533
10,735,793
10,736,692
10,737,692
10,738,793
10,739,624
10,740,992
10,741,716
10,742,716
10,743,793
10,744,793
10,745,793
10,746,793
10,747,716
10,748,692
10,749,716
10,750,992
10,751,624
10,752,716
10,753,692
10,754,793
10,755,692
10,756,716
10,757,793
10,758,959
10,759,992
10,760,793
10,761,574
10,762,793
10,763,793
10,764,716
10,765,716
10,766,610
10,767,624
10,768,610
10,769,624
10,770,692
10,771,959
10,772,959
10,773,959
10,774,992
10,775,793
10,776,959
10,777,959
10,778,959
10,779,610
10,780,992
10,781,992
10,782,793
10,783,692
10,784,959
10,785,692
10,786,793
10,787,716
10,788,959
10,789,793
10,790,692
10,791,992
10,792,467
10,793,959
10,794,716
10,795,610
10,796,610
10,797,959
10,798,533
10,799,959
10,800,793
10,801,610
10,802,793
10,803,610
10,804,959
10,805,692
10,806,533
10,807,716
10,808,716
10,809,793
10,810,610
10,811,793
10,812,793
10,813,624
10,814,959
10,815,793
10,816,692
10,817,793
10,818,692
10,819,692
10,820,692
10,821,716
10,822,716
10,823,716
10,824,692
10,825,610
10,826,793
10,827,716
10,828,793
10,829,992
10,830,959
10,831,692
10,832,793
10,833,716
10,834,610
10,835,610
10,836,959
10,837,793
10,838,1171
10,839,992
10,840,793
10,841,992
10,842,992
