k,n,n_wave
400,1,1
400,2,2
400,3,3
400,4,4
400,5,5
400,6,6
400,7,7
400,8,8
400,9,9
400,10,10
400,11,11
400,12,12
400,13,13
400,14,14
400,15,15
400,16,16
400,17,17
400,18,18
400,19,19
400,20,20
400,21,21
400,22,22
400,23,23
400,24,24
400,25,25
400,26,26
400,27,27
400,28,28
400,29,29
400,30,30
400,31,31
400,32,32
400,33,33
400,34,34
400,35,35
400,36,36
400,37,37
400,38,38
400,39,39
400,40,40
400,41,41
400,42,42
400,43,43
400,44,44
400,45,45
400,46,46
400,47,47
400,48,48
400,49,49
400,50,50
400,51,51
400,52,52
400,53,53
400,54,54
400,55,55
400,56,56
400,57,57
400,58,58
400,59,59
400,60,60
400,61,61
400,62,62
400,63,63
400,64,64
400,65,65
400,66,66
400,67,67
400,68,68
400,69,69
400,70,70
400,71,71
400,72,72
400,73,73
400,74,74
400,75,75
400,76,76
400,77,77
400,78,78
400,79,79
400,80,80
400,81,81
400,82,82
400,83,83
400,84,84
400,85,85
400,86,86
400,87,87
400,88,88
400,89,89
400,90,90
400,91,91
400,92,92
400,93,93
400,94,94
400,95,95
400,96,96
400,97,97
400,98,98
400,99,99
400,100,100
400,101,101
400,102,102
400,103,103
400,104,104
400,105,105
400,106,106
400,107,107
400,108,108
400,109,109
400,110,110
400,111,111
400,112,112
400,113,113
400,114,114
400,115,115
400,116,116
400,117,117
400,118,118
400,119,119
400,120,120
400,121,121
400,122,122
400,123,123
400,124,124
400,125,125
400,126,126
400,127,127
400,128,128
400,129,129
400,130,130
400,131,131
400,132,132
400,133,133
400,134,134
400,135,135
400,136,136
400,137,137
400,138,138
400,139,139
400,140,140
400,141,141
400,142,142
400,143,143
400,144,144
400,145,145
400,146,146
400,147,147
400,148,148
400,149,149
400,150,150
400,151,151
400,152,152
400,153,153
400,154,154
400,155,155
400,156,156
400,157,157
400,158,158
400,159,159
400,160,160
400,161,161
400,162,162
400,163,163
400,164,164
400,165,165
400,166,166
400,167,167
400,168,168
400,169,169
400,170,170
400,171,171
400,172,172
400,173,173
400,174,174
400,175,175
400,176,176
400,177,177
400,178,178
400,179,179
400,180,180
400,181,181
400,182,182
400,183,183
400,184,184
400,185,185
400,186,186
400,187,187
400,188,188
400,189,189
400,190,190
400,191,191
400,192,192
400,193,193
400,194,194
400,195,195
400,196,196
400,197,197
400,198,198
400,199,199
400,200,200
400,201,201
400,202,202
400,203,203
400,204,204
400,205,205
400,206,206
400,207,207
400,208,208
400,209,209
400,210,210
400,211,211
400,212,212
400,213,213
400,214,214
400,215,215
400,216,216
400,217,217
400,218,218
400,219,219
400,220,220
400,221,221
400,222,222
400,223,223
400,224,224
400,225,225
400,226,226
400,227,227
400,228,228
400,229,229
400,230,230
400,231,231
400,232,232
400,233,233
400,234,234
400,235,235
400,236,236
400,237,237
400,238,238
400,239,239
400,240,240
400,241,241
400,242,242
400,243,243
400,244,244
400,245,245
400,246,246
400,247,247
400,248,248
400,249,249
400,250,250
400,251,251
400,252,252
400,253,253
400,254,254
400,255,255
400,256,256
400,257,257
400,258,258
400,259,259
400,260,260
400,261,261
400,262,262
400,263,263
400,264,264
400,265,265
400,266,266
400,267,267
400,268,268
400,269,269
400,270,270
400,271,271
400,272,272
400,273,273
400,274,274
400,275,275
400,276,276
400,277,277
400,278,278
400,279,279
400,280,280
400,281,281
400,282,282
400,283,283
400,284,284
400,285,285
400,286,286
400,287,287
400,288,288
400,289,289
400,290,290
400,291,291
400,292,292
400,293,293
400,294,294
400,295,295
400,296,296
400,297,297
400,298,298
400,299,299
400,300,300
400,301,301
400,302,302
400,303,303
400,304,304
400,305,305
400,306,306
400,307,307
400,308,308
400,309,309
400,310,310
400,311,311
400,312,312
400,313,313
400,314,314
400,315,315
400,316,316
400,317,317
400,318,318
400,319,319
400,320,320
400,321,321
400,322,322
400,323,323
400,324,324
400,325,325
400,326,326
400,327,327
400,328,328
400,329,329
400,330,330
400,331,331
400,332,332
400,333,333
400,334,334
400,335,335
400,336,336
400,337,337
400,338,338
400,339,339
400,340,340
400,341,341
400,342,342
400,343,343
400,344,344
400,345,345
400,346,346
400,347,347
400,348,348
400,349,349
400,350,350
400,351,351
400,352,352
400,353,353
400,354,354
400,355,355
400,356,356
400,357,357
400,358,358
400,359,359
400,360,360
400,361,361
400,362,362
400,363,363
400,364,364
400,365,365
400,366,366
400,367,367
400,368,368
400,369,369
400,370,370
400,371,371
400,372,372
400,373,373
400,374,374
400,375,375
400,376,376
400,377,377
400,378,378
400,379,379
400,380,380
400,381,381
400,382,382
400,383,383
400,384,384
400,385,385
400,386,386
400,387,387
400,388,388
400,389,389
400,390,390
400,391,391
400,392,392
400,393,393
400,394,394
400,395,395
400,396,396
400,397,397
400,398,398
400,399,399
400,400,399
400,401,401
400,402,401
400,403,402
400,404,404
400,405,405
400,406,405
400,407,406
400,408,407
400,409,409
400,410,410
400,411,410
400,412,410
400,413,412
400,414,412
400,415,413
400,416,413
400,417,413
400,418,415
400,419,416
400,420,417
400,421,418
400,422,419
400,423,419
400,424,419
400,425,420
400,426,421
400,427,424
400,428,425
400,429,425
400,430,427
400,431,427
400,432,427
400,433,429
400,434,429
400,435,430
400,436,431
400,437,431
400,438,431
400,439,431
400,440,431
400,441,432
400,442,434
400,443,434
400,444,434
400,445,435
400,446,437
400,447,440
400,448,445
400,449,446
400,450,446
400,451,446
400,452,447
400,453,449
400,454,449
400,455,449
400,456,450
400,457,450
400,458,450
400,459,453
400,460,454
400,461,455
400,462,460
400,463,463
400,464,465
400,465,465
400,466,467
400,467,467
400,468,468
400,469,468
400,470,468
400,471,469
400,472,470
400,473,470
400,474,472
400,475,472
400,476,475
400,477,475
400,478,476
400,479,476
400,480,477
400,481,482
400,482,482
