k,n,n_wave
100,1,1
100,2,2
100,3,1
100,4,4
100,5,3
100,6,5
100,7,4
100,8,7
100,9,6
100,10,9
100,11,9
100,12,10
100,13,8
100,14,14
100,15,13
100,16,13
100,17,11
100,18,15
100,19,16
100,20,16
100,21,16
100,22,17
100,23,16
100,24,23
100,25,19
100,26,24
100,27,24
100,28,24
100,29,21
100,30,23
100,31,25
100,32,28
100,33,25
100,34,30
100,35,27
100,36,29
100,37,29
100,38,30
100,39,29
100,40,34
100,41,32
100,42,31
100,43,34
100,44,33
100,45,35
100,46,39
100,47,35
100,48,37
100,49,42
100,50,38
100,51,41
100,52,43
100,53,39
100,54,46
100,55,47
100,56,47
100,57,46
100,58,45
100,59,45
100,60,47
100,61,42
100,62,47
100,63,49
100,64,45
100,65,56
100,66,51
100,67,58
100,68,57
100,69,56
100,70,56
100,71,60
100,72,57
100,73,62
100,74,58
100,75,61
100,76,62
100,77,59
100,78,62
100,79,66
100,80,60
100,81,64
100,82,61
100,83,64
100,84,65
100,85,68
100,86,73
100,87,69
100,88,75
100,89,68
100,90,70
100,91,73
100,92,75
100,93,73
100,94,74
100,95,73
100,96,70
100,97,77
100,98,77
100,99,81
100,100,82
100,101,76
100,102,83
100,103,80
100,104,79
100,105,82
100,106,89
100,107,88
100,108,83
100,109,79
100,110,85
100,111,90
100,112,87
100,113,95
100,114,91
100,115,91
100,116,93
100,117,100
100,118,94
100,119,93
100,120,100
100,121,97
100,122,96
100,123,99
100,124,98
100,125,103
100,126,107
100,127,98
100,128,105
100,129,105
100,130,105
100,131,107
100,132,106
100,133,103
100,134,107
100,135,111
100,136,110
100,137,116
100,138,103
100,139,117
100,140,116
100,141,107
100,142,117
100,143,111
100,144,118
100,145,118
100,146,111
100,147,120
100,148,120
100,149,120
100,150,118
100,151,120
100,152,120
100,153,111
100,154,117
100,155,120
100,156,119
100,157,121
100,158,128
100,159,128
100,160,120
100,161,125
100,162,146
100,163,120
100,164,139
100,165,128
100,166,138
100,167,131
100,168,138
100,169,128
100,170,130
100,171,131
100,172,139
100,173,150
100,174,130
100,175,130
100,176,146
100,177,131
100,178,130
100,179,150
100,180,153
100,181,153
100,182,138
100,183,148
100,184,150
100,185,146
100,186,152
100,187,150
100,188,153
100,189,139
100,190,150
100,191,146
100,192,154
100,193,156
100,194,150
100,195,153
100,196,153
100,197,162
100,198,158
100,199,156
100,200,160
100,201,164
100,202,157
100,203,165
100,204,157
100,205,158
100,206,165
100,207,165
100,208,154
100,209,175
100,210,164
100,211,168
100,212,168
100,213,179
100,214,165
100,215,156
100,216,166
100,217,177
100,218,167
100,219,166
100,220,171
100,221,167
100,222,167
100,223,167
100,224,176
100,225,165
100,226,176
100,227,179
100,228,171
100,229,171
100,230,175
100,231,179
100,232,176
100,233,177
100,234,176
100,235,198
100,236,190
100,237,199
100,238,199
100,239,189
100,240,190
100,241,190
100,242,198
100,243,199
100,244,199
100,245,194
100,246,199
100,247,190
100,248,199
100,249,219
100,250,190
100,251,194
100,252,227
100,253,215
100,254,194
100,255,215
100,256,199
100,257,203
100,258,220
100,259,224
100,260,220
100,261,216
100,262,215
100,263,214
100,264,189
100,265,219
100,266,214
100,267,200
100,268,220
100,269,194
100,270,215
100,271,227
100,272,220
100,273,199
100,274,215
100,275,203
100,276,224
100,277,224
100,278,220
100,279,224
100,280,224
100,281,220
100,282,239
100,283,224
100,284,231
100,285,224
100,286,232
100,287,216
100,288,229
100,289,224
100,290,227
100,291,225
100,292,233
100,293,229
100,294,229
100,295,232
100,296,241
100,297,237
100,298,233
100,299,233
100,300,244
100,301,246
100,302,244
100,303,240
100,304,237
100,305,237
100,306,253
100,307,242
100,308,250
100,309,254
100,310,240
100,311,240
100,312,246
100,313,248
100,314,249
100,315,250
100,316,254
100,317,264
100,318,264
100,319,250
100,320,253
100,321,244
100,322,252
100,323,264
100,324,249
100,325,246
100,326,244
100,327,253
100,328,266
100,329,276
100,330,258
100,331,244
100,332,253
100,333,264
100,334,265
100,335,289
100,336,289
100,337,286
100,338,276
100,339,241
100,340,285
100,341,285
100,342,303
100,343,296
100,344,296
100,345,301
100,346,289
100,347,289
100,348,276
100,349,296
100,350,303
100,351,302
100,352,266
100,353,287
100,354,289
100,355,266
100,356,290
100,357,287
100,358,302
100,359,296
100,360,346
100,361,265
100,362,348
100,363,331
100,364,296
100,365,287
100,366,345
100,367,307
100,368,331
100,369,307
100,370,345
100,371,307
100,372,331
100,373,346
100,374,302
100,375,302
100,376,348
100,377,289
100,378,316
100,379,323
100,380,331
100,381,303
100,382,355
100,383,316
100,384,301
100,385,355
100,386,319
100,387,331
100,388,323
100,389,323
100,390,323
100,391,303
100,392,346
100,393,363
100,394,323
100,395,355
100,396,346
100,397,362
100,398,355
100,399,352
100,400,355
100,401,373
100,402,348
100,403,307
100,404,348
100,405,377
100,406,355
100,407,395
100,408,362
100,409,348
100,410,345
100,411,323
100,412,355
100,413,363
100,414,416
100,415,363
100,416,377
100,417,362
100,418,377
100,419,396
100,420,380
100,421,363
100,422,380
100,423,362
100,424,373
100,425,362
100,426,373
100,427,409
100,428,409
100,429,385
100,430,377
100,431,419
100,432,377
100,433,385
100,434,409
100,435,416
100,436,363
100,437,395
100,438,419
100,439,367
100,440,409
100,441,384
100,442,385
100,443,409
100,444,367
100,445,377
100,446,373
100,447,377
100,448,425
100,449,409
100,450,440
100,451,385
100,452,409
100,453,409
100,454,430
100,455,396
100,456,444
100,457,425
100,458,425
100,459,430
100,460,440
100,461,409
100,462,425
100,463,442
100,464,457
100,465,373
100,466,446
100,467,425
100,468,454
100,469,385
100,470,419
100,471,445
100,472,380
100,473,430
100,474,425
100,475,440
100,476,447
100,477,442
100,478,440
100,479,445
100,480,442
100,481,454
100,482,446
100,483,440
100,484,467
100,485,409
100,486,454
100,487,419
100,488,419
100,489,440
100,490,430
100,491,430
100,492,425
100,493,455
100,494,447
100,495,419
100,496,430
100,497,459
100,498,444
100,499,416
100,500,419
100,501,444
100,502,419
100,503,473
100,504,419
100,505,430
100,506,465
100,507,455
100,508,459
100,509,455
100,510,457
100,511,419
100,512,447
100,513,454
100,514,447
100,515,457
100,516,478
100,517,478
100,518,473
100,519,447
100,520,457
100,521,459
100,522,447
100,523,457
100,524,459
100,525,455
100,526,488
100,527,478
100,528,446
100,529,454
100,530,488
100,531,469
100,532,501
100,533,478
100,534,473
100,535,478
100,536,467
100,537,476
100,538,488
100,539,488
100,540,467
100,541,493
100,542,454
100,543,457
100,544,473
100,545,486
100,546,488
100,547,453
100,548,488
100,549,467
100,550,478
100,551,488
100,552,537
100,553,459
100,554,478
100,555,493
100,556,465
100,557,473
100,558,486
100,559,488
100,560,493
100,561,506
100,562,535
100,563,488
100,564,499
100,565,488
100,566,537
100,567,488
100,568,499
100,569,506
100,570,535
100,571,486
100,572,585
100,573,473
100,574,501
100,575,516
100,576,506
100,577,501
100,578,499
100,579,465
100,580,488
100,581,506
100,582,506
100,583,609
100,584,488
100,585,499
100,586,537
100,587,537
100,588,478
100,589,486
100,590,520
100,591,493
100,592,516
100,593,501
100,594,582
100,595,535
100,596,587
100,597,537
100,598,520
100,599,582
100,600,585
100,601,585
100,602,488
100,603,582
100,604,596
100,605,516
100,606,506
100,607,609
100,608,516
100,609,609
100,610,535
100,611,516
100,612,620
