k,n,n_wave
3,532,419
3,533,471
3,534,554
3,535,413
3,536,554
3,537,419
3,538,471
3,539,554
3,540,471
3,541,554
3,542,554
3,543,554
3,544,471
3,545,419
3,546,471
3,547,554
3,548,554
3,549,471
3,550,554
3,551,554
3,552,413
3,553,554
3,554,554
3,555,554
3,556,554
3,557,554
3,558,554
3,559,554
3,560,554
3,561,554
3,562,554
3,563,554
3,564,554
3,565,471
3,566,419
3,567,317
3,568,419
3,569,554
3,570,554
3,571,471
3,572,554
3,573,554
3,574,554
3,575,554
3,576,554
3,577,471
3,578,554
3,579,554
3,580,471
3,581,554
3,582,554
3,583,471
3,584,413
3,585,471
3,586,554
3,587,471
3,588,554
3,589,471
3,590,413
3,591,471
3,592,554
3,593,554
3,594,471
3,595,419
3,596,471
3,597,471
3,598,419
3,599,413
3,600,471
3,601,471
3,602,554
3,603,419
3,604,554
3,605,471
3,606,419
3,607,554
3,608,471
3,609,419
3,610,554
3,611,759
3,612,554
3,613,759
3,614,554
3,615,759
3,616,419
3,617,471
3,618,759
3,619,759
3,620,759
3,621,413
3,622,759
3,623,759
3,624,759
3,625,759
3,626,759
3,627,759
3,628,471
3,629,471
3,630,759
3,631,471
3,632,554
3,633,554
3,634,554
3,635,554
3,636,759
3,637,759
3,638,759
3,639,554
3,640,759
3,641,471
3,642,759
3,643,759
3,644,759
3,645,471
3,646,759
3,647,554
3,648,554
3,649,554
3,650,759
3,651,554
3,652,554
3,653,554
3,654,759
3,655,759
3,656,759
3,657,759
3,658,759
3,659,759
3,660,759
3,661,759
3,662,759
3,663,759
3,664,759
3,665,759
3,666,759
3,667,759
3,668,759
3,669,759
3,670,759
3,671,759
3,672,419
3,673,759
3,674,759
3,675,471
3,676,471
3,677,759
3,678,554
3,679,759
3,680,554
3,681,554
3,682,759
3,683,554
3,684,759
3,685,471
3,686,471
3,687,759
3,688,554
3,689,554
3,690,471
3,691,471
3,692,554
3,693,471
3,694,471
3,695,759
3,696,419
3,697,759
3,698,759
3,699,759
3,700,759
3,701,759
3,702,759
3,703,554
3,704,554
3,705,759
3,706,759
3,707,471
3,708,759
3,709,759
3,710,759
3,711,554
3,712,471
3,713,759
3,714,759
3,715,554
3,716,317
3,717,759
3,718,554
3,719,759
3,720,759
3,721,471
3,722,554
3,723,554
3,724,554
3,725,554
3,726,759
3,727,554
3,728,554
3,729,419
3,730,759
3,731,759
3,732,759
3,733,471
3,734,759
3,735,759
3,736,759
3,737,759
3,738,759
3,739,759
3,740,759
3,741,554
3,742,554
3,743,759
3,744,759
3,745,759
3,746,759
3,747,471
3,748,759
3,749,554
3,750,471
3,751,759
3,752,554
3,753,759
3,754,419
3,755,554
3,756,471
3,757,759
3,758,759
3,759,759
3,760,759
3,761,759
3,762,759
3,763,759
3,764,554
3,765,759
3,766,554
3,767,471
3,768,759
3,769,419
3,770,554
3,771,759
3,772,554
3,773,317
3,774,554
3,775,554
3,776,554
3,777,759
3,778,759
3,779,759
3,780,471
3,781,759
3,782,554
3,783,554
3,784,471
3,785,471
3,786,419
3,787,471
3,788,471
3,789,759
3,790,759
3,791,471
3,792,471
3,793,759
3,794,554
3,795,759
3,796,554
3,797,759
3,798,413
3,799,759
3,800,471
3,801,554
3,802,759
3,803,554
3,804,759
3,805,554
3,806,554
3,807,554
3,808,759
3,809,471
3,810,759
3,811,759
3,812,413
3,813,759
3,814,759
3,815,471
3,816,759
3,817,759
3,818,554
3,819,759
3,820,759
3,821,759
3,822,554
3,823,759
3,824,413
3,825,759
3,826,419
3,827,759
3,828,554
3,829,759
3,830,759
3,831,759
3,832,759
3,833,419
3,834,554
3,835,759
3,836,471
3,837,759
3,838,471
3,839,554
3,840,554
3,841,759
3,842,554
3,843,759
3,844,554
3,845,554
3,846,554
3,847,471
3,848,413
3,849,759
3,850,759
3,851,759
3,852,554
3,853,759
3,854,759
3,855,554
3,856,759
3,857,471
3,858,554
3,859,759
3,860,759
3,861,471
3,862,759
3,863,554
3,864,419
3,865,759
3,866,759
3,867,759
3,868,759
3,869,554
3,870,554
3,871,759
3,872,759
3,873,759
3,874,554
3,875,759
3,876,554
3,877,759
3,878,413
3,879,759
3,880,759
3,881,554
3,882,759
3,883,471
3,884,554
3,885,759
3,886,554
3,887,759
3,888,554
3,889,759
3,890,554
3,891,759
3,892,554
3,893,759
3,894,554
3,895,759
3,896,759
3,897,759
3,898,554
3,899,471
3,900,759
3,901,759
3,902,759
3,903,759
3,904,554
3,905,759
3,906,759
3,907,419
3,908,554
3,909,759
3,910,759
3,911,759
3,912,471
3,913,759
3,914,759
3,915,554
3,916,759
3,917,554
3,918,417
3,919,759
3,920,554
3,921,759
3,922,554
3,923,759
3,924,759
3,925,759
3,926,759
3,927,759
3,928,471
3,929,554
3,930,471
3,931,759
3,932,759
3,933,419
3,934,759
3,935,471
3,936,759
3,937,759
3,938,759
3,939,554
3,940,759
3,941,471
3,942,417
3,943,759
3,944,759
3,945,471
3,946,759
3,947,554
3,948,759
3,949,759
3,950,419
3,951,759
3,952,471
3,953,759
3,954,554
3,955,759
3,956,554
3,957,471
3,958,554
3,959,759
3,960,759
3,961,554
3,962,554
3,963,554
3,964,554
3,965,554
3,966,471
3,967,759
3,968,554
3,969,471
3,970,419
3,971,759
3,972,554
3,973,471
3,974,759
3,975,759
3,976,417
3,977,554
3,978,759
3,979,554
3,980,759
3,981,759
3,982,554
3,983,413
3,984,419
3,985,554
3,986,554
3,987,554
3,988,759
3,989,471
3,990,759
3,991,759
3,992,554
3,993,554
3,994,759
3,995,759
3,996,419
3,997,471
3,998,759
3,999,554
3,1000,759
3,1001,759
3,1002,759
3,1003,759
3,1004,471
3,1005,554
3,1006,759
3,1007,759
3,1008,554
3,1009,759
3,1010,554
3,1011,554
3,1012,471
3,1013,759
3,1014,759
3,1015,759
3,1016,759
3,1017,554
3,1018,759
3,1019,759
3,1020,759
3,1021,759
3,1022,471
3,1023,759
3,1024,759
3,1025,554
3,1026,759
3,1027,759
3,1028,554
3,1029,759
