k,n,n_wave
2,1,0
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,9,1
2,10,1
2,11,3
2,12,3
2,13,2
2,14,2
2,15,2
2,16,1
2,17,3
2,18,3
2,19,3
2,20,3
2,21,8
2,22,8
2,23,4
2,24,8
2,25,8
2,26,8
2,27,8
2,28,11
2,29,8
2,30,11
2,31,11
2,32,8
2,33,11
2,34,10
2,35,8
2,36,11
2,37,11
2,38,9
2,39,10
2,40,11
2,41,11
2,42,11
2,43,9
2,44,10
2,45,11
2,46,10
2,47,11
2,48,10
2,49,10
2,50,9
2,51,11
2,52,11
2,53,11
2,54,10
2,55,11
2,56,10
2,57,11
2,58,11
2,59,10
2,60,11
2,61,27
2,62,35
2,63,27
2,64,69
2,65,69
2,66,69
2,67,69
2,68,35
2,69,69
2,70,35
2,71,69
2,72,27
2,73,69
2,74,35
2,75,69
2,76,69
2,77,69
2,78,69
2,79,69
2,80,69
2,81,69
2,82,35
2,83,35
2,84,69
2,85,69
2,86,69
2,87,35
2,88,35
2,89,35
2,90,35
2,91,69
2,92,35
2,93,27
2,94,69
2,95,69
2,96,69
2,97,69
2,98,35
2,99,69
2,100,69
2,101,69
2,102,69
2,103,35
2,104,27
2,105,69
2,106,11
2,107,69
2,108,35
2,109,69
2,110,69
2,111,69
2,112,69
2,113,69
2,114,69
2,115,27
2,116,35
2,117,35
2,118,69
2,119,69
2,120,35
2,121,35
2,122,69
2,123,69
2,124,35
2,125,69
2,126,69
2,127,69
2,128,69
2,129,69
2,130,39
2,131,39
2,132,69
2,133,39
2,134,69
2,135,88
2,136,88
2,137,88
2,138,88
2,139,110
2,140,110
2,141,110
2,142,110
2,143,110
2,144,110
2,145,110
2,146,110
2,147,88
2,148,110
2,149,88
2,150,110
2,151,110
2,152,88
2,153,110
2,154,110
2,155,110
2,156,88
2,157,110
2,158,69
2,159,110
2,160,88
2,161,69
2,162,110
2,163,110
2,164,110
2,165,110
2,166,110
2,167,110
2,168,110
2,169,206
2,170,206
2,171,206
2,172,206
2,173,110
2,174,88
2,175,206
2,176,110
2,177,206
2,178,206
2,179,206
2,180,206
2,181,206
2,182,206
2,183,206
2,184,110
2,185,206
2,186,206
2,187,206
2,188,206
2,189,206
2,190,206
2,191,206
2,192,110
2,193,206
2,194,206
2,195,88
2,196,88
2,197,206
2,198,206
2,199,110
2,200,206
2,201,206
2,202,206
2,203,206
2,204,79
2,205,88
2,206,206
2,207,206
2,208,206
2,209,206
2,210,110
2,211,110
2,212,206
2,213,110
2,214,206
2,215,110
2,216,206
2,217,206
2,218,206
2,219,110
2,220,110
2,221,110
2,222,206
2,223,206
2,224,206
2,225,206
2,226,206
2,227,206
2,228,206
2,229,206
2,230,206
2,231,206
2,232,110
2,233,206
2,234,206
2,235,206
2,236,206
2,237,235
2,238,206
2,239,235
2,240,206
2,241,235
2,242,235
2,243,79
2,244,206
2,245,235
2,246,235
2,247,235
2,248,206
2,249,235
2,250,110
2,251,235
2,252,206
2,253,235
2,254,235
2,255,110
2,256,206
2,257,235
2,258,235
2,259,235
2,260,235
2,261,235
2,262,235
2,263,206
2,264,206
2,265,235
2,266,235
2,267,235
2,268,235
2,269,235
2,270,206
2,271,235
2,272,206
2,273,235
2,274,206
2,275,235
2,276,235
2,277,235
2,278,235
2,279,206
2,280,235
2,281,110
2,282,106
2,283,235
2,284,235
2,285,235
2,286,235
2,287,206
2,288,235
2,289,206
2,290,235
2,291,206
2,292,235
2,293,235
2,294,206
2,295,235
2,296,235
2,297,235
2,298,235
2,299,206
2,300,206
2,301,206
2,302,206
2,303,235
2,304,235
2,305,235
2,306,206
2,307,88
2,308,235
2,309,235
2,310,235
2,311,235
2,312,110
2,313,206
2,314,235
2,315,206
2,316,235
2,317,235
2,318,206
2,319,235
2,320,235
2,321,235
2,322,106
2,323,235
2,324,235
2,325,206
2,326,235
2,327,206
2,328,206
2,329,235
2,330,206
2,331,235
2,332,206
2,333,235
2,334,235
2,335,110
2,336,235
2,337,206
2,338,235
2,339,235
2,340,235
2,341,235
2,342,235
2,343,235
2,344,235
2,345,235
2,346,235
2,347,110
2,348,206
2,349,235
2,350,235
2,351,206
2,352,206
2,353,209
2,354,235
2,355,235
2,356,235
2,357,235
2,358,235
2,359,235
2,360,235
2,361,209
2,362,209
2,363,235
2,364,588
2,365,588
2,366,588
2,367,588
2,368,588
2,369,588
2,370,588
2,371,235
2,372,588
2,373,588
2,374,588
2,375,588
2,376,588
2,377,588
2,378,588
2,379,588
2,380,209
2,381,209
2,382,588
2,383,588
2,384,588
2,385,588
2,386,277
2,387,588
2,388,588
2,389,588
2,390,588
2,391,588
2,392,277
2,393,588
2,394,277
2,395,277
2,396,588
2,397,588
2,398,588
2,399,277
2,400,235
2,401,235
2,402,277
2,403,277
2,404,588
2,405,588
2,406,277
2,407,277
2,408,588
2,409,588
2,410,588
2,411,277
2,412,588
2,413,588
2,414,588
2,415,588
2,416,588
2,417,588
2,418,277
2,419,277
2,420,277
2,421,588
2,422,277
2,423,588
2,424,588
2,425,277
2,426,588
2,427,209
2,428,588
2,429,277
