k,n,n_wave
10,532,793
10,533,793
10,534,793
10,535,793
10,536,793
10,537,793
10,538,793
10,539,793
10,540,793
10,541,793
10,542,793
10,543,793
10,544,793
10,545,793
10,546,793
10,547,793
10,548,793
10,549,793
10,550,793
10,551,959
10,552,959
10,553,959
10,554,959
10,555,959
10,556,959
10,557,959
10,558,959
10,559,959
10,560,959
10,561,959
10,562,959
10,563,959
10,564,959
10,565,959
10,566,959
10,567,959
10,568,959
10,569,959
10,570,959
10,571,959
10,572,959
10,573,959
10,574,959
10,575,959
10,576,959
10,577,959
10,578,959
10,579,959
10,580,959
10,581,959
10,582,959
10,583,959
10,584,959
10,585,959
10,586,959
10,587,959
10,588,959
10,589,959
10,590,959
10,591,959
10,592,959
10,593,959
10,594,959
10,595,959
10,596,959
10,597,959
10,598,959
10,599,959
10,600,959
10,601,959
10,602,959
10,603,959
10,604,959
10,605,959
10,606,959
10,607,959
10,608,959
10,609,959
10,610,959
10,611,992
10,612,992
10,613,992
10,614,992
10,615,992
10,616,992
10,617,992
10,618,992
10,619,992
10,620,992
10,621,992
10,622,992
10,623,992
10,624,992
10,625,992
10,626,992
10,627,992
10,628,992
10,629,992
10,630,992
10,631,992
10,632,992
10,633,992
10,634,992
10,635,992
10,636,992
10,637,992
10,638,992
10,639,992
10,640,992
10,641,992
10,642,992
10,643,992
10,644,992
10,645,992
10,646,992
10,647,992
10,648,992
10,649,992
10,650,992
10,651,992
10,652,992
10,653,992
10,654,992
10,655,992
10,656,992
10,657,992
10,658,992
10,659,992
10,660,992
10,661,992
10,662,992
10,663,992
10,664,992
10,665,992
10,666,992
10,667,992
10,668,992
10,669,992
10,670,992
10,671,992
10,672,992
10,673,992
10,674,992
10,675,992
10,676,992
10,677,992
10,678,992
10,679,992
10,680,992
10,681,992
10,682,992
10,683,992
10,684,992
10,685,992
10,686,992
10,687,992
10,688,992
10,689,992
10,690,992
10,691,992
10,692,992
10,693,992
10,694,992
10,695,992
10,696,992
10,697,992
10,698,992
10,699,992
10,700,992
10,701,992
10,702,992
10,703,992
10,704,992
10,705,992
10,706,992
