k,n,n_wave
100,1,1
100,2,2
100,3,3
100,4,4
100,5,5
100,6,6
100,7,7
100,8,8
100,9,9
100,10,10
100,11,11
100,12,12
100,13,13
100,14,14
100,15,15
100,16,16
100,17,17
100,18,18
100,19,19
100,20,20
100,21,21
100,22,22
100,23,23
100,24,24
100,25,25
100,26,26
100,27,27
100,28,28
100,29,29
100,30,30
100,31,31
100,32,32
100,33,33
100,34,34
100,35,35
100,36,36
100,37,37
100,38,38
100,39,39
100,40,40
100,41,41
100,42,42
100,43,43
100,44,44
100,45,45
100,46,46
100,47,47
100,48,48
100,49,49
100,50,50
100,51,51
100,52,52
100,53,53
100,54,54
100,55,55
100,56,56
100,57,57
100,58,58
100,59,59
100,60,60
100,61,61
100,62,62
100,63,63
100,64,64
100,65,65
100,66,66
100,67,67
100,68,68
100,69,69
100,70,70
100,71,71
100,72,72
100,73,73
100,74,74
100,75,75
100,76,76
100,77,77
100,78,78
100,79,79
100,80,80
100,81,81
100,82,82
100,83,83
100,84,84
100,85,85
100,86,86
100,87,87
100,88,88
100,89,89
100,90,90
100,91,91
100,92,92
100,93,93
100,94,94
100,95,95
100,96,96
100,97,97
100,98,98
100,99,99
100,100,99
100,101,100
100,102,100
100,103,101
100,104,102
100,105,103
100,106,103
100,107,105
100,108,105
100,109,106
100,110,107
100,111,107
100,112,108
100,113,110
100,114,111
100,115,111
100,116,111
100,117,116
100,118,116
100,119,117
100,120,118
100,121,118
100,122,118
100,123,119
100,124,120
100,125,120
100,126,121
100,127,121
100,128,121
100,129,125
100,130,125
100,131,125
100,132,126
100,133,126
100,134,126
100,135,127
100,136,128
100,137,128
100,138,129
100,139,130
100,140,130
100,141,131
100,142,131
100,143,138
100,144,139
100,145,146
100,146,147
100,147,148
100,148,149
100,149,150
100,150,150
100,151,150
100,152,150
100,153,152
100,154,152
100,155,152
100,156,152
100,157,153
100,158,154
100,159,154
100,160,156
100,161,156
100,162,156
100,163,157
100,164,158
100,165,158
100,166,159
100,167,162
100,168,162
100,169,164
100,170,165
100,171,165
100,172,165
100,173,167
100,174,167
100,175,167
100,176,167
100,177,171
100,178,171
100,179,172
100,180,175
100,181,176
100,182,176
100,183,176
100,184,176
100,185,177
100,186,177
100,187,177
100,188,178
100,189,178
100,190,178
100,191,178
100,192,179
100,193,189
100,194,189
100,195,189
100,196,193
100,197,194
100,198,194
100,199,196
100,200,196
100,201,198
100,202,199
100,203,199
100,204,199
100,205,199
100,206,199
100,207,199
100,208,200
100,209,200
100,210,200
100,211,203
100,212,203
100,213,213
100,214,213
100,215,213
100,216,214
100,217,215
100,218,219
100,219,219
100,220,219
100,221,219
100,222,220
100,223,220
100,224,220
100,225,224
100,226,224
100,227,224
100,228,225
100,229,225
100,230,227
100,231,227
100,232,227
100,233,227
100,234,227
100,235,229
100,236,231
100,237,232
100,238,233
100,239,233
100,240,234
100,241,239
100,242,239
100,243,239
100,244,239
100,245,239
100,246,240
100,247,240
100,248,241
100,249,244
100,250,246
100,251,246
100,252,248
100,253,249
100,254,249
100,255,249
100,256,249
100,257,249
100,258,249
100,259,250
100,260,250
100,261,250
100,262,250
100,263,252
100,264,252
100,265,252
100,266,252
100,267,252
100,268,252
100,269,252
100,270,253
100,271,254
100,272,254
100,273,254
100,274,258
100,275,258
100,276,258
100,277,258
100,278,264
100,279,265
100,280,265
100,281,265
100,282,265
100,283,265
100,284,266
100,285,285
100,286,286
100,287,289
100,288,289
100,289,289
100,290,289
100,291,289
100,292,289
100,293,296
100,294,301
100,295,301
100,296,302
100,297,302
100,298,302
100,299,303
100,300,303
100,301,303
100,302,316
100,303,316
100,304,323
100,305,331
100,306,331
100,307,331
100,308,331
100,309,331
100,310,331
100,311,345
100,312,345
100,313,345
100,314,346
100,315,346
100,316,346
100,317,348
100,318,348
100,319,352
100,320,352
100,321,355
100,322,355
100,323,355
100,324,355
100,325,355
100,326,355
100,327,355
100,328,355
100,329,355
100,330,355
100,331,355
100,332,355
100,333,355
100,334,358
100,335,362
100,336,362
100,337,362
100,338,363
100,339,363
100,340,367
100,341,373
100,342,377
100,343,377
100,344,380
100,345,380
100,346,380
100,347,395
100,348,395
100,349,396
100,350,402
100,351,402
100,352,402
100,353,409
100,354,409
100,355,409
100,356,409
100,357,409
100,358,409
100,359,409
100,360,409
100,361,409
100,362,409
100,363,409
100,364,416
100,365,416
100,366,416
100,367,416
100,368,419
100,369,419
100,370,425
100,371,425
100,372,425
100,373,430
100,374,430
100,375,430
100,376,430
100,377,440
100,378,440
100,379,440
100,380,440
100,381,440
100,382,444
100,383,444
100,384,444
100,385,445
100,386,445
100,387,445
100,388,445
100,389,445
100,390,445
100,391,445
100,392,445
100,393,445
100,394,445
100,395,446
100,396,447
100,397,447
100,398,447
100,399,447
100,400,454
100,401,455
100,402,455
100,403,455
100,404,455
100,405,455
100,406,455
100,407,455
100,408,455
100,409,457
100,410,457
100,411,459
100,412,465
100,413,465
100,414,467
100,415,467
100,416,467
100,417,467
100,418,467
100,419,467
100,420,467
100,421,467
100,422,467
100,423,467
100,424,467
100,425,467
100,426,467
100,427,467
100,428,469
100,429,469
100,430,469
100,431,469
100,432,469
100,433,473
100,434,476
100,435,476
100,436,476
100,437,478
100,438,478
100,439,486
100,440,486
100,441,486
100,442,486
100,443,486
100,444,488
100,445,488
100,446,488
100,447,493
100,448,493
100,449,493
100,450,493
100,451,493
100,452,493
100,453,493
100,454,493
100,455,493
100,456,493
100,457,499
100,458,499
100,459,499
100,460,499
100,461,499
100,462,501
100,463,501
100,464,501
100,465,501
100,466,501
100,467,501
100,468,501
100,469,501
100,470,501
100,471,506
100,472,506
100,473,506
100,474,506
100,475,516
100,476,516
100,477,516
100,478,516
100,479,516
100,480,516
100,481,516
100,482,516
100,483,516
100,484,516
100,485,516
100,486,537
100,487,537
100,488,537
100,489,537
100,490,537
100,491,537
100,492,537
100,493,537
100,494,537
100,495,585
100,496,585
100,497,585
100,498,585
100,499,587
100,500,587
100,501,587
100,502,587
100,503,587
100,504,596
100,505,596
100,506,596
100,507,596
100,508,596
100,509,596
100,510,596
100,511,600
100,512,600
100,513,619
100,514,619
100,515,619
100,516,619
100,517,619
100,518,619
100,519,619
100,520,619
100,521,619
100,522,620
100,523,620
100,524,620
100,525,620
100,526,620
100,527,620
100,528,623
100,529,623
100,530,623
100,531,623
100,532,627
100,533,627
100,534,627
100,535,627
100,536,627
100,537,627
100,538,627
100,539,627
100,540,627
100,541,627
100,542,630
100,543,630
100,544,630
100,545,630
100,546,630
100,547,630
100,548,630
100,549,630
100,550,630
100,551,645
100,552,645
100,553,645
100,554,645
100,555,645
100,556,647
100,557,651
100,558,651
100,559,660
100,560,660
100,561,660
100,562,660
100,563,660
100,564,660
100,565,663
100,566,663
100,567,663
100,568,663
100,569,663
100,570,663
100,571,663
100,572,663
100,573,663
100,574,663
100,575,663
100,576,663
100,577,663
100,578,663
100,579,663
100,580,669
100,581,672
100,582,672
100,583,672
100,584,672
100,585,672
100,586,672
100,587,672
100,588,672
100,589,672
100,590,672
100,591,675
100,592,675
100,593,675
100,594,675
100,595,684
100,596,690
100,597,690
100,598,693
100,599,693
100,600,693
100,601,693
100,602,693
100,603,693
100,604,693
100,605,693
100,606,693
100,607,693
100,608,693
100,609,693
100,610,693
100,611,701
100,612,701
