k,n,n_wave
400,1,1
400,2,2
400,3,2
400,4,4
400,5,5
400,6,4
400,7,5
400,8,5
400,9,8
400,10,8
400,11,10
400,12,11
400,13,12
400,14,10
400,15,10
400,16,15
400,17,14
400,18,15
400,19,16
400,20,15
400,21,19
400,22,18
400,23,20
400,24,21
400,25,22
400,26,24
400,27,20
400,28,24
400,29,23
400,30,25
400,31,26
400,32,28
400,33,28
400,34,28
400,35,29
400,36,32
400,37,31
400,38,33
400,39,35
400,40,28
400,41,31
400,42,36
400,43,35
400,44,35
400,45,39
400,46,37
400,47,42
400,48,42
400,49,37
400,50,39
400,51,38
400,52,45
400,53,45
400,54,44
400,55,46
400,56,42
400,57,44
400,58,45
400,59,48
400,60,49
400,61,51
400,62,50
400,63,49
400,64,58
400,65,50
400,66,54
400,67,53
400,68,51
400,69,53
400,70,56
400,71,56
400,72,58
400,73,58
400,74,58
400,75,65
400,76,61
400,77,56
400,78,64
400,79,64
400,80,61
400,81,67
400,82,66
400,83,65
400,84,69
400,85,67
400,86,66
400,87,71
400,88,73
400,89,72
400,90,72
400,91,74
400,92,74
400,93,72
400,94,82
400,95,81
400,96,74
400,97,80
400,98,81
400,99,77
400,100,71
400,101,78
400,102,90
400,103,80
400,104,82
400,105,80
400,106,79
400,107,85
400,108,91
400,109,91
400,110,86
400,111,92
400,112,91
400,113,91
400,114,91
400,115,96
400,116,87
400,117,96
400,118,90
400,119,95
400,120,97
400,121,96
400,122,97
400,123,92
400,124,93
400,125,108
400,126,108
400,127,99
400,128,107
400,129,108
400,130,107
400,131,106
400,132,99
400,133,109
400,134,101
400,135,100
400,136,106
400,137,111
400,138,107
400,139,110
400,140,118
400,141,126
400,142,107
400,143,108
400,144,112
400,145,119
400,146,124
400,147,113
400,148,115
400,149,117
400,150,118
400,151,126
400,152,127
400,153,124
400,154,127
400,155,133
400,156,127
400,157,127
400,158,130
400,159,125
400,160,134
400,161,134
400,162,128
400,163,133
400,164,134
400,165,130
400,166,131
400,167,130
400,168,140
400,169,134
400,170,143
400,171,146
400,172,141
400,173,143
400,174,139
400,175,140
400,176,140
400,177,151
400,178,132
400,179,135
400,180,149
400,181,148
400,182,145
400,183,147
400,184,151
400,185,151
400,186,148
400,187,146
400,188,152
400,189,156
400,190,153
400,191,154
400,192,151
400,193,156
400,194,148
400,195,151
400,196,155
400,197,152
400,198,161
400,199,160
400,200,168
400,201,165
400,202,166
400,203,157
400,204,166
400,205,162
400,206,164
400,207,162
400,208,167
400,209,170
400,210,171
400,211,161
400,212,165
400,213,173
400,214,172
400,215,167
400,216,175
400,217,166
400,218,176
400,219,179
400,220,176
400,221,175
400,222,184
400,223,184
400,224,170
400,225,185
400,226,181
400,227,179
400,228,186
400,229,179
400,230,168
400,231,183
400,232,182
400,233,178
400,234,183
400,235,187
400,236,193
400,237,191
400,238,192
400,239,186
400,240,192
400,241,196
400,242,199
400,243,186
400,244,196
400,245,203
400,246,199
400,247,191
400,248,195
400,249,205
400,250,207
400,251,195
400,252,199
400,253,201
400,254,207
400,255,196
400,256,198
400,257,210
400,258,214
400,259,201
400,260,214
400,261,212
400,262,211
400,263,214
400,264,227
400,265,214
400,266,214
400,267,219
400,268,220
400,269,223
400,270,214
400,271,222
400,272,224
400,273,212
400,274,211
400,275,220
400,276,218
400,277,233
400,278,218
400,279,229
400,280,216
400,281,221
400,282,223
400,283,226
400,284,231
400,285,241
400,286,224
400,287,233
400,288,227
400,289,220
400,290,222
400,291,220
400,292,239
400,293,235
400,294,235
400,295,233
400,296,234
400,297,249
400,298,241
400,299,238
400,300,224
400,301,244
400,302,245
400,303,235
400,304,239
400,305,255
400,306,252
400,307,255
400,308,248
400,309,255
400,310,244
400,311,255
400,312,254
400,313,258
400,314,250
400,315,251
400,316,256
400,317,242
400,318,262
400,319,258
400,320,256
400,321,269
400,322,264
400,323,256
400,324,264
400,325,235
400,326,268
400,327,274
400,328,248
400,329,257
400,330,260
400,331,265
400,332,254
400,333,271
400,334,265
400,335,268
400,336,264
400,337,266
400,338,279
400,339,277
400,340,279
400,341,279
400,342,277
400,343,274
400,344,277
400,345,260
400,346,275
400,347,285
400,348,267
400,349,278
400,350,288
400,351,274
400,352,280
400,353,285
400,354,290
400,355,289
400,356,299
400,357,283
400,358,302
400,359,287
400,360,299
400,361,297
400,362,291
400,363,290
400,364,304
400,365,296
400,366,285
400,367,295
400,368,304
400,369,303
400,370,307
400,371,288
400,372,298
400,373,291
400,374,309
400,375,300
400,376,298
400,377,301
400,378,294
400,379,306
400,380,308
400,381,291
400,382,312
400,383,313
400,384,323
400,385,302
400,386,293
400,387,316
400,388,319
400,389,317
400,390,296
400,391,294
400,392,324
400,393,315
400,394,328
400,395,319
400,396,323
400,397,330
400,398,308
400,399,335
400,400,327
400,401,327
400,402,325
400,403,335
400,404,325
400,405,322
400,406,323
400,407,334
400,408,326
400,409,328
400,410,316
400,411,313
400,412,336
400,413,340
400,414,334
400,415,342
400,416,356
400,417,330
400,418,325
400,419,334
400,420,339
400,421,338
400,422,339
400,423,350
400,424,361
400,425,338
400,426,339
400,427,345
400,428,344
400,429,356
400,430,340
400,431,340
400,432,340
400,433,356
400,434,343
400,435,339
400,436,347
400,437,344
400,438,347
400,439,340
400,440,345
400,441,364
400,442,351
400,443,345
400,444,370
400,445,349
400,446,361
400,447,365
400,448,353
400,449,353
400,450,357
400,451,345
400,452,367
400,453,352
400,454,363
400,455,357
400,456,377
400,457,371
400,458,367
400,459,369
400,460,363
400,461,369
400,462,381
400,463,378
400,464,378
400,465,357
400,466,379
400,467,364
400,468,366
400,469,374
400,470,372
400,471,367
400,472,382
400,473,374
400,474,387
400,475,387
400,476,395
400,477,387
400,478,376
400,479,382
400,480,383
400,481,385
400,482,385
