k,n,n_wave
3,1,1
3,2,2
3,3,2
3,4,2
3,5,2
3,6,2
3,7,2
3,8,3
3,9,3
3,10,3
3,11,3
3,12,5
3,13,5
3,14,5
3,15,5
3,16,5
3,17,5
3,18,5
3,19,5
3,20,7
3,21,7
3,22,8
3,23,8
3,24,9
3,25,16
3,26,16
3,27,16
3,28,16
3,29,16
3,30,16
3,31,16
3,32,16
3,33,16
3,34,21
3,35,21
3,36,21
3,37,21
3,38,21
3,39,21
3,40,21
3,41,21
3,42,21
3,43,21
3,44,21
3,45,21
3,46,21
3,47,21
3,48,21
3,49,21
3,50,21
3,51,21
3,52,21
3,53,21
3,54,21
3,55,21
3,56,21
3,57,21
3,58,21
3,59,21
3,60,22
3,61,55
3,62,55
3,63,55
3,64,71
3,65,71
3,66,71
3,67,71
3,68,71
3,69,71
3,70,71
3,71,71
3,72,71
3,73,71
3,74,71
3,75,71
3,76,71
3,77,71
3,78,71
3,79,71
3,80,71
3,81,71
3,82,71
3,83,71
3,84,71
3,85,71
3,86,71
3,87,71
3,88,71
3,89,71
3,90,71
3,91,71
3,92,71
3,93,71
3,94,71
3,95,71
3,96,71
3,97,71
3,98,71
3,99,71
3,100,71
3,101,71
3,102,71
3,103,71
3,104,71
3,105,71
3,106,71
3,107,71
3,108,71
3,109,71
3,110,71
3,111,71
3,112,71
3,113,71
3,114,71
3,115,71
3,116,71
3,117,71
3,118,71
3,119,71
3,120,71
3,121,71
3,122,71
3,123,71
3,124,71
3,125,71
3,126,71
3,127,78
3,128,78
3,129,78
3,130,78
3,131,78
3,132,78
3,133,78
3,134,78
3,135,138
3,136,138
3,137,138
3,138,138
3,139,176
3,140,176
3,141,176
3,142,176
3,143,176
3,144,176
3,145,176
3,146,176
3,147,176
3,148,176
3,149,176
3,150,176
3,151,176
3,152,176
3,153,176
3,154,176
3,155,176
3,156,176
3,157,176
3,158,176
3,159,176
3,160,176
3,161,176
3,162,176
3,163,176
3,164,176
3,165,176
3,166,176
3,167,176
3,168,176
3,169,220
3,170,220
3,171,220
3,172,220
3,173,220
3,174,220
3,175,220
3,176,220
3,177,220
3,178,220
3,179,220
3,180,220
3,181,220
3,182,220
3,183,220
3,184,220
3,185,220
3,186,220
3,187,220
3,188,220
3,189,220
3,190,220
3,191,220
3,192,220
3,193,220
3,194,220
3,195,220
3,196,220
3,197,220
3,198,220
3,199,220
3,200,220
3,201,220
3,202,220
3,203,220
3,204,220
3,205,220
3,206,220
3,207,220
3,208,220
3,209,220
3,210,220
3,211,220
3,212,220
3,213,220
3,214,220
3,215,220
3,216,220
3,217,220
3,218,220
3,219,220
3,220,220
3,221,220
3,222,220
3,223,220
3,224,220
3,225,220
3,226,220
3,227,220
3,228,220
3,229,220
3,230,220
3,231,220
3,232,220
3,233,220
3,234,220
3,235,220
3,236,220
3,237,413
3,238,413
3,239,413
3,240,413
3,241,413
3,242,413
3,243,413
3,244,413
3,245,413
3,246,413
3,247,413
3,248,413
3,249,413
3,250,413
3,251,413
3,252,413
3,253,413
3,254,413
3,255,413
3,256,413
3,257,413
3,258,413
3,259,413
3,260,413
3,261,413
3,262,413
3,263,413
3,264,413
3,265,413
3,266,413
3,267,413
3,268,413
3,269,413
3,270,413
3,271,413
3,272,413
3,273,413
3,274,413
3,275,413
3,276,413
3,277,413
3,278,413
3,279,413
3,280,413
3,281,413
3,282,413
3,283,413
3,284,413
3,285,413
3,286,413
3,287,413
3,288,413
3,289,413
3,290,413
3,291,413
3,292,413
3,293,413
3,294,413
3,295,413
3,296,413
3,297,413
3,298,413
3,299,413
3,300,413
3,301,413
3,302,413
3,303,413
3,304,413
3,305,413
3,306,413
3,307,413
3,308,413
3,309,413
3,310,413
3,311,413
3,312,413
3,313,413
3,314,413
3,315,413
3,316,413
3,317,413
